               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11939,            0.021208,            0.025299,                   0,                   0,                   0,                   0,             0.07854,            0.014426,            0.013399,              0.0004,              0.0004,              0.0964
                   1,             0.11538,             0.02017,            0.024523,                   0,                   0,                   0,                   0,            0.074859,            0.012963,            0.012472,           0.0008595,           0.0008595,             0.09186
                   2,              0.1113,            0.019548,            0.024068,                   0,                   0,                   0,                   0,            0.075078,            0.011538,            0.012623,            0.001274,            0.001274,            0.087274
                   3,              0.1116,            0.019312,            0.023493,                   0,                   0,                   0,                   0,            0.076249,             0.01046,            0.012905,           0.0016435,           0.0016435,            0.082644
                   4,             0.10955,            0.018664,            0.023303,           0.0010883,                   1,           0.0014547,          0.00014547,            0.071266,           0.0093966,            0.012145,            0.001968,            0.001968,            0.077968
                   5,             0.10378,            0.017239,            0.022872,           0.0018878,                   1,            0.002216,          0.00088641,            0.065424,           0.0087599,            0.011905,           0.0022475,           0.0022475,            0.073248
                   6,            0.098849,            0.017809,             0.02172,                   0,                   0,                   0,                   0,            0.068574,           0.0078722,            0.012087,            0.002482,            0.002482,            0.068482
                   7,            0.097002,            0.017953,            0.021365,          0.00085408,                   1,          0.00090785,          0.00018157,            0.062263,           0.0068027,            0.010909,           0.0026715,           0.0026715,            0.063671
                   8,             0.10237,            0.021032,            0.020506,                   0,                   0,                   0,                   0,            0.067263,           0.0060555,            0.011956,            0.002816,            0.002816,            0.058816
                   9,            0.092397,            0.018238,            0.019817,                   0,                   0,                   0,                   0,            0.064438,           0.0056372,            0.011488,           0.0029155,           0.0029155,            0.053916
                  10,            0.094336,            0.016646,            0.019994,                   0,                   0,                   0,                   0,            0.066074,           0.0052293,             0.01075,             0.00297,             0.00297,             0.04897
                  11,            0.092666,            0.016967,            0.020788,          0.00063319,                   1,          0.00065981,          0.00013196,            0.057339,           0.0049761,           0.0093719,           0.0029795,           0.0029795,             0.04398
                  12,            0.090944,            0.019885,            0.018993,                   0,                   0,                   0,                   0,            0.054685,           0.0048008,           0.0085288,            0.002944,            0.002944,            0.038944
                  13,            0.087406,            0.017242,            0.019881,                   0,                   0,                   0,                   0,            0.063825,           0.0042562,           0.0079283,           0.0028635,           0.0028635,            0.033864
                  14,            0.090873,            0.018649,            0.019047,                   0,                   0,                   0,                   0,            0.063556,           0.0040687,            0.007673,            0.002738,            0.002738,            0.028738
                  15,             0.08829,            0.016392,            0.018817,                   0,                   0,                   0,                   0,            0.060292,           0.0040973,           0.0072922,           0.0025675,           0.0025675,            0.023568
                  16,             0.08934,            0.017953,            0.020115,          0.00057096,                   1,          0.00077734,           0.0002332,            0.049242,           0.0040596,           0.0070044,            0.002352,            0.002352,            0.018352
                  17,            0.087091,            0.015486,             0.01885,                   0,                   0,                   0,                   0,            0.047685,           0.0039642,           0.0070479,           0.0020915,           0.0020915,            0.013092
                  18,            0.083462,            0.016757,            0.017889,                   0,                   0,                   0,                   0,            0.049575,           0.0038418,           0.0075579,            0.001786,            0.001786,            0.007786
                  19,            0.081196,            0.020054,            0.018658,           0.0071122,                   1,             0.00796,            0.001592,            0.050057,           0.0037592,           0.0091381,           0.0014355,           0.0014355,           0.0024355
