               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1181,            0.023789,            0.025143,                   0,                   0,                   0,                   0,             0.11392,            0.018864,            0.023799,              0.0004,              0.0004,              0.0964
                   1,             0.11498,            0.022429,            0.024929,                   0,                   0,                   0,                   0,             0.11079,            0.017762,            0.023423,           0.0008595,           0.0008595,             0.09186
                   2,             0.11197,            0.021529,            0.024129,          0.00082911,            0.041667,          0.00045848,          0.00022924,             0.10446,            0.016915,            0.023289,            0.001274,            0.001274,            0.087274
                   3,             0.10988,            0.021901,            0.024034,           0.0019887,            0.041667,           0.0009404,          0.00013106,             0.10348,            0.016452,             0.02401,           0.0016435,           0.0016435,            0.082644
                   4,             0.10828,            0.021868,            0.022628,          0.00089603,            0.083333,          0.00056231,          0.00011246,             0.10339,            0.015604,            0.023117,            0.001968,            0.001968,            0.077968
                   5,             0.10543,            0.020546,            0.022487,           0.0099651,            0.041667,           0.0036397,           0.0006901,             0.10266,            0.014634,            0.022385,           0.0022475,           0.0022475,            0.073248
                   6,             0.10209,            0.022017,            0.022164,           0.0096962,            0.041667,           0.0023316,          0.00059059,            0.099315,            0.014022,            0.021264,            0.002482,            0.002482,            0.068482
                   7,            0.098459,            0.020782,            0.020385,           0.0028887,            0.083333,           0.0015506,          0.00016787,            0.096808,             0.01409,            0.022285,           0.0026715,           0.0026715,            0.063671
                   8,             0.10182,             0.02368,            0.019667,           0.0015346,            0.083333,            0.001192,           0.0001916,             0.10115,            0.013239,              0.0214,            0.002816,            0.002816,            0.058816
                   9,            0.092434,            0.021348,             0.01972,           0.0046504,             0.17262,           0.0021237,          0.00033112,            0.096939,            0.013027,            0.021106,           0.0029155,           0.0029155,            0.053916
                  10,            0.095276,            0.021216,             0.01868,           0.0050114,            0.047619,           0.0015445,          0.00018807,            0.092312,            0.013234,              0.0215,             0.00297,             0.00297,             0.04897
                  11,            0.092553,            0.020595,            0.018156,           0.0022128,             0.30357,           0.0022855,          0.00043027,            0.088941,            0.013565,             0.02148,           0.0029795,           0.0029795,             0.04398
                  12,            0.091568,            0.021406,            0.018036,           0.0026014,              0.3869,           0.0028823,          0.00062363,            0.090191,            0.013391,            0.021733,            0.002944,            0.002944,            0.038944
                  13,            0.086735,            0.021053,            0.018264,             0.33816,            0.041667,            0.003487,          0.00065154,            0.088496,            0.013196,            0.020983,           0.0028635,           0.0028635,            0.033864
                  14,            0.090943,            0.022693,            0.017641,             0.36634,            0.089286,           0.0080754,           0.0015671,            0.082634,            0.013749,            0.021385,            0.002738,            0.002738,            0.028738
                  15,            0.089495,              0.0222,            0.018354,           0.0095552,             0.21429,            0.005446,          0.00056609,            0.086652,            0.013145,            0.020354,           0.0025675,           0.0025675,            0.023568
                  16,            0.089364,            0.021732,            0.017585,           0.0028285,             0.21429,           0.0022375,          0.00055912,            0.088537,             0.01269,            0.020303,            0.002352,            0.002352,            0.018352
                  17,            0.082271,            0.019533,            0.017451,           0.0016383,             0.21429,           0.0016354,          0.00038051,            0.087108,            0.012777,            0.020566,           0.0020915,           0.0020915,            0.013092
                  18,            0.082873,            0.020616,             0.01643,           0.0028431,             0.30357,           0.0024933,          0.00032841,            0.087146,            0.012758,            0.020545,            0.001786,            0.001786,            0.007786
                  19,            0.084351,            0.024378,            0.017502,           0.0092383,             0.29762,           0.0055398,          0.00071562,            0.087046,            0.012658,            0.020222,           0.0014355,           0.0014355,           0.0024355
