               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,               0.104,            0.020267,            0.023574,           0.0068413,            0.020823,           0.0033558,          0.00073864,            0.082514,            0.010342,            0.021139,              0.0026,              0.0026,              0.0766
                   1,            0.080966,            0.020668,            0.018763,             0.34569,            0.078531,           0.0082721,           0.0022121,            0.073795,           0.0085775,            0.017781,           0.0052523,           0.0052523,            0.052252
                   2,            0.073213,            0.019853,            0.016513,             0.36162,            0.082405,            0.015521,           0.0056997,            0.065999,            0.008651,            0.016877,            0.007856,            0.007856,            0.027856
                   3,             0.06915,            0.020141,            0.014645,             0.40646,            0.065456,            0.024995,           0.0062155,            0.060135,            0.010034,            0.015506,             0.00973,             0.00973,             0.00973
                   4,            0.065182,            0.019121,            0.013069,             0.44287,             0.10654,            0.036582,             0.01062,            0.061866,           0.0091493,            0.018011,             0.00973,             0.00973,             0.00973
                   5,            0.061944,            0.018672,            0.011903,             0.42996,            0.074578,             0.03717,            0.010774,            0.062832,           0.0086694,            0.013914,             0.00964,             0.00964,             0.00964
                   6,            0.060015,            0.018137,             0.01097,             0.44537,             0.10444,            0.041342,             0.01642,            0.057346,            0.010331,            0.015142,             0.00955,             0.00955,             0.00955
                   7,            0.057157,            0.017815,             0.01087,             0.38485,             0.13955,            0.025378,           0.0068487,            0.063187,            0.011178,            0.017591,             0.00946,             0.00946,             0.00946
                   8,            0.058743,            0.017243,            0.010463,             0.44283,            0.091929,            0.041139,           0.0087712,            0.064587,           0.0094373,            0.017089,             0.00937,             0.00937,             0.00937
                   9,            0.056668,             0.01765,            0.010023,             0.54805,             0.17695,             0.13641,            0.054748,            0.056721,            0.008932,            0.012069,             0.00928,             0.00928,             0.00928
                  10,            0.056144,             0.01703,           0.0090798,             0.51573,             0.21655,             0.14805,              0.0585,            0.056501,           0.0078317,           0.0096477,             0.00919,             0.00919,             0.00919
                  11,             0.05482,            0.017249,           0.0096263,             0.55239,             0.23914,             0.17964,            0.070075,            0.053357,           0.0076041,            0.010049,              0.0091,              0.0091,              0.0091
                  12,            0.053952,            0.017132,           0.0097605,             0.51663,             0.24956,             0.15583,            0.054255,            0.060606,           0.0073512,            0.013875,             0.00901,             0.00901,             0.00901
                  13,            0.053433,            0.017407,           0.0090086,             0.60547,             0.24512,             0.20961,            0.077675,            0.053527,           0.0078217,            0.007708,             0.00892,             0.00892,             0.00892
                  14,            0.052969,            0.017093,           0.0082554,             0.52838,             0.24746,             0.16549,            0.056336,            0.051232,           0.0088028,            0.013597,             0.00883,             0.00883,             0.00883
                  15,            0.050807,            0.016531,           0.0082413,             0.57645,             0.23249,             0.20954,             0.08869,            0.050355,           0.0075278,            0.012819,             0.00874,             0.00874,             0.00874
                  16,            0.050802,            0.016168,            0.008355,             0.74459,             0.18055,             0.23763,            0.095984,            0.053509,           0.0073786,           0.0078062,             0.00865,             0.00865,             0.00865
                  17,            0.050812,            0.017066,           0.0079741,              0.6699,             0.25044,             0.24863,            0.096764,            0.048987,           0.0073014,           0.0080556,             0.00856,             0.00856,             0.00856
                  18,            0.050875,            0.016178,            0.007634,             0.66038,              0.1996,             0.21198,            0.089852,            0.052071,           0.0074926,            0.011348,             0.00847,             0.00847,             0.00847
                  19,             0.05038,            0.016555,           0.0078634,             0.67417,             0.27504,             0.25675,            0.092704,            0.048378,           0.0075022,           0.0056996,             0.00838,             0.00838,             0.00838
                  20,            0.050045,            0.016252,           0.0079363,             0.62163,             0.26546,             0.23011,            0.079835,            0.052752,           0.0072535,            0.011403,             0.00829,             0.00829,             0.00829
                  21,            0.049848,            0.015942,           0.0078442,               0.689,             0.24071,             0.24114,            0.094522,            0.049795,           0.0074517,            0.010245,              0.0082,              0.0082,              0.0082
                  22,            0.048198,            0.016629,           0.0073671,             0.63821,             0.22169,              0.2128,            0.076576,            0.053471,           0.0074154,            0.011011,             0.00811,             0.00811,             0.00811
                  23,            0.047909,            0.016341,           0.0073618,             0.75708,             0.34835,             0.39419,             0.17619,            0.047094,           0.0067588,           0.0070067,             0.00802,             0.00802,             0.00802
                  24,            0.048513,            0.014756,           0.0066353,             0.72271,             0.16836,             0.23604,            0.090336,              0.0556,           0.0076627,            0.011987,             0.00793,             0.00793,             0.00793
                  25,            0.047121,            0.015513,           0.0067676,             0.73495,              0.2867,             0.30692,             0.11813,            0.050642,           0.0070576,           0.0092746,             0.00784,             0.00784,             0.00784
                  26,            0.045931,            0.014887,           0.0064841,             0.71143,               0.336,             0.35227,             0.14972,            0.045081,            0.006899,           0.0092261,             0.00775,             0.00775,             0.00775
                  27,            0.046686,            0.015484,           0.0069246,              0.7146,             0.29946,             0.29764,             0.12434,            0.049148,           0.0071193,           0.0069138,             0.00766,             0.00766,             0.00766
                  28,            0.045355,            0.015057,           0.0064954,             0.74714,             0.33788,             0.36824,             0.16126,            0.046986,           0.0067256,           0.0071206,             0.00757,             0.00757,             0.00757
                  29,            0.044412,            0.014882,           0.0062154,              0.7595,             0.27517,             0.36198,              0.1524,            0.047969,           0.0065623,           0.0062145,             0.00748,             0.00748,             0.00748
