               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10257,            0.023943,            0.022183,             0.61287,             0.15418,             0.11811,             0.03624,            0.066855,            0.017783,            0.017168,           0.0032576,           0.0032576,            0.070682
                   1,            0.068231,             0.02299,            0.017927,             0.62871,             0.19198,             0.11961,            0.036207,            0.070736,            0.011837,            0.014615,           0.0059977,           0.0059977,            0.040089
                   2,            0.062128,            0.019632,            0.015463,             0.68362,             0.29289,             0.24244,            0.059599,            0.054773,            0.011444,             0.01229,           0.0081379,           0.0081379,           0.0088955
                   3,            0.053488,            0.016824,             0.01358,             0.43047,              0.5973,             0.49509,             0.20062,             0.04756,           0.0092293,            0.008914,              0.0073,              0.0073,              0.0073
                   4,            0.049512,            0.014489,            0.011217,             0.63855,              0.7159,             0.68722,             0.32191,            0.034483,           0.0079201,           0.0073562,              0.0073,              0.0073,              0.0073
                   5,            0.042377,            0.011569,           0.0089273,             0.78233,             0.68533,             0.76366,             0.32307,            0.037964,           0.0063136,            0.006194,              0.0064,              0.0064,              0.0064
                   6,            0.037857,            0.010348,           0.0074934,             0.77583,             0.90768,             0.84604,             0.53852,            0.028556,           0.0056228,           0.0047661,              0.0055,              0.0055,              0.0055
                   7,            0.034658,           0.0092521,           0.0059393,             0.78928,             0.90792,             0.83395,             0.47404,            0.030089,           0.0052493,           0.0038886,              0.0046,              0.0046,              0.0046
                   8,            0.029551,           0.0085981,           0.0053789,             0.94768,             0.90194,             0.92718,             0.60779,             0.02344,           0.0047524,           0.0031661,              0.0037,              0.0037,              0.0037
                   9,            0.028513,           0.0082897,           0.0045382,             0.98573,             0.88469,             0.93573,             0.65612,            0.022074,           0.0046212,           0.0027297,              0.0028,              0.0028,              0.0028
